"case_id","symptom","topology_note","concept_tag","severity","show_outputs","expected_fault"
"NET-016","R1 and R3 fail to form OSPF adjacency over link GigabitEthernet0/2","HQ Router R1 with transit link to Router R3","OSPF","High","R1# show ip ospf neighbor

R1# show ip ospf interface GigabitEthernet0/2
GigabitEthernet0/2 is up, line protocol is up
  Internet Address 10.0.23.1/30, Area 0, Attached via Interface Enable
  Process ID 1, Router ID 1.1.1.1, Network Type BROADCAST, Cost: 1
  No Hellos (Passive interface)

R1# show running-config | section router ospf
router ospf 1
 router-id 1.1.1.1
 passive-interface GigabitEthernet0/2
 network 10.0.23.0 0.0.0.3 area 0","GigabitEthernet0/2 is erroneously configured as passive-interface, suppressing OSPF hello packets"
"NET-017","OSPF process advertising wrong subnets; adjacent routes missing from routing table","OSPF process configuration on WAN Gateway","OSPF","High","WAN-GW# show running-config | section router ospf
router ospf 10
 router-id 10.10.10.1
 network 10.1.10.0 255.255.255.0 area 0
 network 10.1.20.0 255.255.255.0 area 0

WAN-GW# show ip ospf interface brief
Interface    PID   Area            IP Address/Mask    Cost  State Nbrs F/C
Lo0          10    0               10.10.10.1/32      1     LOOP  0/0","Inverted wildcard mask in OSPF network statement (255.255.255.0 used instead of 0.0.0.255)"
"NET-018","EIGRP neighbor relationship fails to establish between Site-A and Site-B","Dual-router campus backbone running EIGRP","EIGRP","High","SiteA-R1# show ip eigrp neighbors
EIGRP-IPv4 Neighbors for AS(100)

SiteA-R1# show running-config | section router eigrp
router eigrp 100
 network 10.100.1.0 0.0.0.3
 no auto-summary

SiteB-R2# show running-config | section router eigrp
router eigrp 200
 network 10.100.1.0 0.0.0.3
 no auto-summary

SiteA-R1# show log
%DUAL-5-NBRCHANGE: IP-EIGRP(0) 100: Neighbor 10.100.1.2 is down: wrong AS","EIGRP Autonomous System (AS) number mismatch: SiteA is running AS 100 while SiteB is running AS 200"
"NET-019","VLANs created on Primary Switch are not propagated to Secondary Access Switches","Multi-switch VTP domain in campus network","VLAN/Trunking","Medium","SW-Core# show vtp status
VTP Version                     : 2
Configuration Revision          : 8
Maximum VLANs supported locally : 255
Number of existing VLANs        : 7
VTP Operating Mode              : Server
VTP Domain Name                 : CORP_CAMPUS

SW-Access# show vtp status
VTP Version                     : 2
Configuration Revision          : 0
Maximum VLANs supported locally : 255
Number of existing VLANs        : 5
VTP Operating Mode              : Client
VTP Domain Name                 : BRANCH_OFFICE","VTP domain name mismatch between Core (CORP_CAMPUS) and Access (BRANCH_OFFICE)"
"NET-020","Standby router does not take over when Primary router priority is restored; VIP conflict","Dual Core Switches running HSRP for default gateway redundancy","HSRP","Medium","Core1# show standby brief
                     P indicates configured to preempt.
                     |
Interface   Grp  Pri P State   Active          Standby         Virtual IP
Vlan10      10   110   Active  local           192.168.10.3    192.168.10.1

Core2# show standby brief
                     P indicates configured to preempt.
                     |
Interface   Grp  Pri P State   Active          Standby         Virtual IP
Vlan10      10   100   Active  local           192.168.10.2    192.168.10.254","HSRP Virtual IP address mismatch (192.168.10.1 on Core1 vs 192.168.10.254 on Core2) causing both to act as Active"
"NET-021","LAN workstations cannot reach local file server after ACL applied to LAN gateway","Building LAN interface Gi0/0 with standard access list","ACL","High","Gateway# show ip access-list 10
Standard IP access list 10
    10 permit 192.168.100.0, wildcard bits 0.0.0.255 (0 matches)
    20 deny any (1240 matches)

Gateway# show run interface GigabitEthernet0/0
interface GigabitEthernet0/0
 ip address 192.168.100.1 255.255.255.0
 ip access-group 10 in","Standard ACL 10 applied inbound on LAN interface matching on source IP filters internal host traffic erroneously"
"NET-022","Users intermittently get Connection Timed Out when browsing external sites during peak hours","Edge firewall with dynamic NAT pool","NAT/PAT","High","EdgeFW# show ip nat statistics
Total active translations: 2 (0 static, 2 dynamic; 0 extended)
Outside interfaces: GigabitEthernet0/0
Inside interfaces: GigabitEthernet0/1
Hits: 1205  Misses: 489
Expired translations: 1203
Dynamic mappings:
-- Inside Source
 [Id: 1] access-list 1 pool CORP_POOL refcount 2
  pool CORP_POOL: netmask 255.255.255.252
	start 203.0.113.10 end 203.0.113.11
	type generic, total addresses 2, allocated 2 (100%), misses 489","Dynamic NAT pool CORP_POOL is exhausted (100% allocated, 2/2 addresses) without PAT overload configuration"
"NET-023","Client PCs on Subnet 192.168.20.0/24 fail to obtain IP from Central DHCP Server at 10.10.10.50","Multi-subnet campus with centralized DHCP Server behind Router","DHCP","High","Router# show ip dhcp snooping
DHCP snooping is enabled

Router# show run interface GigabitEthernet0/0.20
Building configuration...
interface GigabitEthernet0/0.20
 encapsulation dot1Q 20
 ip address 192.168.20.1 255.255.255.0
!
Router# show ip interface GigabitEthernet0/0.20 | include Helper
  Helper address is not set","Missing 'ip helper-address 10.10.10.50' on router sub-interface GigabitEthernet0/0.20 to relay DHCP broadcast requests"
"NET-024","Hosts obtain IP address via DHCP but domain names fail to resolve to IP addresses","Corporate Branch Office DHCP Server on Router","DHCP","Medium","BranchRTR# show run | section ip dhcp pool
ip dhcp pool OFFICE_POOL
   network 10.20.30.0 255.255.255.0
   default-router 10.20.30.1
   dns-server 192.0.2.123

BranchRTR# show ip route 192.0.2.123
% Network not in table

BranchRTR# show hosts
Default domain is corp.local
Name servers are 10.20.1.5, 10.20.1.6","DHCP scope contains unreachable invalid DNS server IP (192.0.2.123) instead of valid enterprise DNS (10.20.1.5)"
"NET-025","IPv6 hosts fail to configure global unicast addresses via SLAAC","IPv6 dual-stack campus router interface","IPv6/SLAAC","High","IPv6-RTR# show ipv6 interface GigabitEthernet0/0
GigabitEthernet0/0 is up, line protocol is up
  IPv6 is enabled, link-local address is FE80::1
  Global unicast address(es):
    2001:DB8:ACAD:1::1, subnet is 2001:DB8:ACAD:1::/64
  ND DAD is enabled, number of DAD attempts 1
  ND router advertisements are suppressed
  ND router advertisements sent: 0","IPv6 Router Advertisements (RA) are suppressed on interface ('ipv6 nd ra suppress'), blocking SLAAC autoconfiguration"
"NET-026","eBGP session between ISP router and Enterprise AS 65001 fails to reach ESTABLISHED state","Border BGP peering with ISP","BGP","High","ISP-RTR# show ip bgp summary
BGP router identifier 203.0.113.1, local AS number 65000
Neighbor        V    AS MsgRcvd MsgSent   TblVer  InQ OutQ Up/Down  State/PfxRcd
198.51.100.2    4 65002       0       0        1    0    0 never    Active

Enterprise-GW# show running-config | section router bgp
router bgp 65001
 bgp log-neighbor-changes
 neighbor 198.51.100.1 remote-as 65000

ISP-RTR# show log
%BGP-4-REMOTE_AS_MISMATCH: Received OPEN from 198.51.100.2 with remote-as 65001, expected 65002","eBGP Remote AS mismatch: ISP configured neighbor with remote-as 65002 instead of 65001"
"NET-027","Network Management Station (NMS) cannot build topology map; neighbor discovery failing","Core switch interconnect link Fa0/24","Management/CDP","Low","SW-Core# show cdp neighbors
Capability Codes: R - Router, T - Trans Bridge, B - Source Route Bridge
                  S - Switch, H - Host, I - IGMP, r - Repeater, P - Phone
Device ID    Local Intrfce   Holdtme    Capability   Platform    Port ID

SW-Core# show cdp
Global CDP information:
    Sending CDP packets every 60 seconds
    Sending a holdtime value of 180 seconds

SW-Core# show run interface FastEthernet0/24
interface FastEthernet0/24
 switchport mode trunk
 no cdp enable","Cisco Discovery Protocol (CDP) is disabled on interface FastEthernet0/24 ('no cdp enable')"
"NET-028","Router logs show incorrect timestamps and NTP status shows unsynchronized","HQ Gateway NTP synchronization with Central Time Server","NTP/System","Low","HQ-GW# show ntp status
Clock is unsynchronized, stratum 16, no reference clock
nominal freq is 250.0000 Hz, actual freq is 250.0000 Hz, precision is 2**18

HQ-GW# show ntp associations
      address         ref clock     st   when poll reach  delay  offset   disp
~10.10.10.1           .LOCL.         1     12   64    0     0.00    0.00  15937
 * master (synced), # master (unsynced), + selected, - candidate, ~ configured

HQ-GW# show running-config | include ntp
ntp authentication-key 1 md5 CiscoKey123 7
ntp server 10.10.10.1 key 1","NTP authentication key 1 is defined but missing 'ntp trusted-key 1' and 'ntp authenticate' commands"
"NET-029","Administrator cannot establish SSH connection to Switch management interface","Access Switch VTY line remote administration","Security/SSH","High","SW-Access# show run | section line vty
line vty 0 4
 password 7 0822455D0A16
 login
 transport input telnet
line vty 5 15
 login
 transport input none

SW-Access# show ip ssh
SSH Disabled - version 1.99","VTY lines 0-4 are configured for 'transport input telnet' only; SSH transport is not permitted ('transport input ssh' missing)"
"NET-030","All VLAN 10 and VLAN 20 users lost connectivity simultaneously to default gateway","Core Router-on-a-Stick physical trunk interface","Inter-VLAN Routing","Critical","CoreRouter# show ip interface brief
Interface                  IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0         unassigned      YES unset  administratively down down
GigabitEthernet0/0.10      192.168.10.1    YES manual administratively down down
GigabitEthernet0/0.20      192.168.20.1    YES manual administratively down down
GigabitEthernet0/0.30      192.168.30.1    YES manual administratively down down

CoreRouter# show run interface GigabitEthernet0/0
interface GigabitEthernet0/0
 no ip address
 shutdown
!","Physical parent interface GigabitEthernet0/0 is administratively down, cascading shutdown to all child sub-interfaces"
